Bag,Bag Name,Size,Item,Qty,Critical Item
Bag 1,MAIN CAMERA,XL,Blackmagic 4K Main Camera,1,No
Bag 1,MAIN CAMERA,XL,Blackmagic Camera Lens,1,No
Bag 1,MAIN CAMERA,XL,Raincover for Main Camera,1,No
Bag 1,MAIN CAMERA,XL,ATEM SDI Switcher #1,1,Yes
Bag 1,MAIN CAMERA,XL,DJI TX/RX Pairs,2,Yes
Bag 1,MAIN CAMERA,XL,Bi-Directional SDI Converter,1,Yes
Bag 1,MAIN CAMERA,XL,Power Base Charger,1,No
Bag 1,MAIN CAMERA,XL,USBC Cables for Camera Setup,4,No
Bag 1,MAIN CAMERA,XL,NP-F Batteries (large),4,No
Bag 1,MAIN CAMERA,XL,SDI Cables,4,No
Bag 1,MAIN CAMERA,XL,HDMI to Mini HDMI Cable,1,No
Bag 1,MAIN CAMERA,XL,Barrel Cable Supplement,2,No
Bag 2,RECORDER + STORAGE,XL,Atomos Ninja V Recorder,1,No
Bag 2,RECORDER + STORAGE,XL,ATEM SDI Switcher #2 (Backup),1,Yes
Bag 2,RECORDER + STORAGE,XL,DJI TX/RX Pairs,2,Yes
Bag 2,RECORDER + STORAGE,XL,Bi-Directional SDI Converter,1,Yes
Bag 2,RECORDER + STORAGE,XL,SSD Hard Disk Storage,4,No
Bag 2,RECORDER + STORAGE,XL,SD Cards,4,No
Bag 2,RECORDER + STORAGE,XL,Arzopa Screen,1,No
Bag 2,RECORDER + STORAGE,XL,Screen Power Cables,2,No
Bag 2,RECORDER + STORAGE,XL,NP-F Batteries (large),4,No
Bag 2,RECORDER + STORAGE,XL,SDI Cables,4,No
Bag 2,RECORDER + STORAGE,XL,HDMI to Mini HDMI Cables,2,No
Bag 3,PHONES + CAMERA SETUP,M,iPhone 15 Pro Max (with cage),3,No
Bag 3,PHONES + CAMERA SETUP,M,iPhone 16 Pro Max (with cage),2,No
Bag 3,PHONES + CAMERA SETUP,M,DJI TX/RX Pair,1,Yes
Bag 3,PHONES + CAMERA SETUP,M,Bi-Directional SDI Converter,1,Yes
Bag 3,PHONES + CAMERA SETUP,M,iPhone Dongles,6,No
Bag 3,PHONES + CAMERA SETUP,M,HDMI Mini Adapters,2,No
Bag 3,PHONES + CAMERA SETUP,M,HDMI Cables (short),5,No
Bag 3,PHONES + CAMERA SETUP,M,USBC Cables Supplement,5,No
Bag 3,PHONES + CAMERA SETUP,M,Zip Tie Pack,1,No
Bag 4,TRANSMISSION + SIGNAL,M,DJI TX/RX Pairs,2,Yes
Bag 4,TRANSMISSION + SIGNAL,M,SWIT Transmitter,1,Yes
Bag 4,TRANSMISSION + SIGNAL,M,Bi-Directional SDI Converter,1,Yes
Bag 4,TRANSMISSION + SIGNAL,M,AV Matrix Splitter & Converter,1,No
Bag 4,TRANSMISSION + SIGNAL,M,Up/Down Cross Converter,1,No
Bag 4,TRANSMISSION + SIGNAL,M,HDMI Splitter,1,No
Bag 4,TRANSMISSION + SIGNAL,M,SDI Cables,4,No
Bag 4,TRANSMISSION + SIGNAL,M,HDMI to Mini HDMI Cables,2,No
Bag 4,TRANSMISSION + SIGNAL,M,USBC Power Cables,5,No
Bag 5,POWER A,M,GAN Charger Station,1,No
Bag 5,POWER A,M,Power Banks,2,No
Bag 5,POWER A,M,NPF Dual Battery Chargers,2,No
Bag 5,POWER A,M,NPF Charging Devices,2,No
Bag 5,POWER A,M,NP-F Batteries (large),4,No
Bag 5,POWER A,M,NP-F Batteries (small),3,No
Bag 5,POWER A,M,Power Base Charger,1,No
